season_end,player_id,name,age,team,pos,g,gs,mp,per,ts_pct,usg_pct,ws,bpm,vorp,awards
1980,willijo01,John Williamson,28,WSB,SG,30,,603,10.2,.462,27.9,-0.2,-5.4,-0.5,
1980,catchha01,Harvey Catchings,28,MIL,C,72,,1366,10.9,.429,9.9,2.6,0.1,0.7,
1980,shumajo01,John Shumate,27,3TM,PF,65,,1337,16.0,.594,16.5,3.5,0.5,0.9,
1980,shumajo01,John Shumate,27,DET,PF,9,,228,15.1,.572,15.2,0.5,-0.6,0.1,
1980,shumajo01,John Shumate,27,HOU,PF,29,,332,11.7,.606,13.1,0.6,-1.1,0.1,
1980,shumajo01,John Shumate,27,SAS,PF,27,,777,18.0,.597,18.4,2.5,1.4,0.7,
1980,mckinbi01,Billy McKinney,24,KCK,PG,76,,1333,13.4,.502,18.2,2.7,-0.5,0.5,
1980,duerote01,Terry Duerod,23,DET,SG,67,,1331,11.7,.498,20.4,0.7,-3.3,-0.4,
1980,russeca02,Campy Russell,28,CLE,SF,41,,1331,16.2,.508,25.5,1.8,0.8,0.9,
1980,lambejo01,John Lambert,27,CLE,PF,74,,1324,10.4,.453,14.7,1.8,-2.6,-0.2,
1980,scottal01,Alvin Scott,24,PHO,SF,79,,1303,9.9,.493,13.6,1.7,-0.8,0.4,
1980,maysc01,Scott May,25,CHI,SF,54,,1298,14.9,.507,23.2,2.4,-1.3,0.2,
1980,jeelaab01,Abdul Jeelani,25,POR,SF,77,,1286,18.7,.563,24.6,3.8,1.5,1.1,
1980,wrighla01,Larry Wright,25,WSB,PG,76,,1286,13.3,.510,20.1,1.8,-1.0,0.3,
1980,paxsoji02,Jim Paxson,22,POR,SG,72,,1270,9.1,.443,19.1,0.3,-4.1,-0.7,
1980,givenja01,Jack Givens,23,ATL,SF,82,,1254,11.5,.444,19.2,2.2,-1.6,0.1,
1980,evansmi01,Mike Evans,24,SAS,SG,79,,1246,9.8,.485,19.1,0.1,-4.0,-0.6,
1980,waltoll01,Lloyd Walton,26,MIL,PG,76,,1243,9.6,.494,12.3,1.1,-2.4,-0.1,
1980,thompda01,David Thompson,25,DEN,SG,39,,1239,19.0,.549,27.8,3.0,1.6,1.1,
1980,kelsegr01,Greg Kelser,22,DET,SF,50,,1233,16.1,.520,25.7,1.4,-1.2,0.3,
1980,abernto01,Tom Abernethy,25,GSW,PF,67,,1222,11.0,.511,13.3,2.0,-1.2,0.2,
1980,hollili01,Lionel Hollins,26,2TM,SG,47,26,1209,10.5,.449,23.9,0.1,-3.6,-0.5,
1980,hollili01,Lionel Hollins,26,POR,PG,20,,413,8.2,.421,29.4,-0.8,-6.7,-0.5,
1980,hollili01,Lionel Hollins,26,PHI,SG,27,26,796,11.7,.468,21.1,0.9,-2.0,0.0,
1980,hugheki01,Kim Hughes,27,DEN,C,70,,1208,11.5,.498,8.8,2.2,0.2,0.7,
1980,hubbaph01,Phil Hubbard,23,DET,PF,64,,1189,13.7,.534,21.6,1.6,-3.5,-0.5,
1980,leero01,Ron Lee,27,2TM,PG,61,,1167,10.3,.435,14.7,0.8,-0.8,0.3,
1980,leero01,Ron Lee,27,ATL,PG,30,,364,4.1,.340,14.8,-0.3,-5.2,-0.3,
1980,leero01,Ron Lee,27,DET,PG,31,,803,13.1,.474,14.6,1.0,1.1,0.6,
1980,lagarto01,Tom LaGarde,24,SEA,C,82,,1164,10.8,.521,15.7,2.2,-2.5,-0.1,
1980,townsra01,Raymond Townsend,24,GSW,SG,75,,1159,9.6,.443,18.6,0.4,-3.4,-0.4,
1980,copelho01,Hollis Copeland,24,NYK,SF,75,1,1142,11.0,.526,16.5,1.2,-1.8,0.1,
1980,hassejo01,Joe Hassett,24,IND,SG,74,2,1135,13.0,.501,19.4,2.0,-0.8,0.3,
1980,weathni01,Nick Weatherspoon,29,SDC,SF,57,,1124,9.3,.468,17.9,0.1,-4.8,-0.8,
1980,highjo01,Johnny High,22,PHO,PG,82,,1121,10.1,.510,18.6,1.1,-2.4,-0.1,
1980,hamilro01,Roy Hamilton,22,DET,PG,72,,1116,9.1,.472,16.2,-0.4,-4.3,-0.6,
1980,garlaga01,Gary Garland,22,DEN,PG,78,,1106,10.2,.454,15.6,0.5,-2.6,-0.2,
1980,boynewi01,Winford Boynes,22,NJN,SG,64,,1102,13.1,.518,21.8,1.7,-1.2,0.2,
1980,washiri01,Richard Washington,24,MIL,PF,75,,1092,12.3,.484,18.8,2.0,-2.6,-0.2,
1980,mcmilto01,Tom McMillen,27,ATL,C,53,,1071,14.2,.540,18.8,2.9,0.2,0.6,
1980,hendege01,Gerald Henderson,24,BOS,PG,76,2,1061,12.7,.539,20.5,1.7,-0.4,0.4,
