n_clusters,noise,silhouette,calinski_harabasz,davies_bouldin,dbcv,n_components,n_neighbors,min_dist,min_cluster_size,min_samples,composite_2025,dbcv_hdbscan
11,0.19239373601789708,0.2799427807331085,493.86012858047724,0.631671862840003,-0.11205496966600878,2,15,0.1,15,10,0.6836593091626448,0.08120562101015642
9,0.1871737509321402,0.4483824372291565,459.81893923443147,0.48912484061467965,0.15415849658823363,2,15,0.1,15,15,0.7070871342281746,0.06516021200562781
20,0.29381058911260255,0.4693078100681305,1883.319388982125,0.6700757694477975,0.1982097273305271,2,15,0.1,20,5,0.8205849336746514,0.17480451603481
9,0.13571961222967935,0.3957250416278839,493.7350029849048,0.6001529502322422,-0.05730212633758908,2,15,0.1,20,10,0.7180163728737694,0.46687074878436435
9,0.1871737509321402,0.4483824372291565,459.81893923443147,0.48912484061467965,0.15415849658823363,2,15,0.1,20,15,0.7070871342281746,0.06516021200562781
19,0.2796420581655481,0.45432397723197937,1726.3729812449883,0.6707892402344481,0.1849349462805444,2,15,0.1,25,5,0.8068932772596313,0.15625009607605797
8,0.13273676360924683,0.39201420545578003,558.8298375226358,0.6113419978807706,-0.05201784515094503,2,15,0.1,25,10,0.7248640854878565,0.5192186999914736
9,0.1871737509321402,0.4483824372291565,459.81893923443147,0.48912484061467965,0.15415849658823363,2,15,0.1,25,15,0.7070871342281746,0.06516021200562781
10,0.09992542878448919,0.37740540504455566,471.6143267468844,0.6502793230967023,-0.009912455508809148,2,15,0.1,30,5,0.723794614796025,0.060662962875642226
7,0.15361670395227442,0.40427443385124207,603.083036364231,0.6066557774910699,-0.05892039821810964,2,15,0.1,30,10,0.6648644575284272,0.5438516558433573
7,0.20432513049962714,0.4358855187892914,551.1978503354735,0.562842356705869,0.16373627249172376,2,15,0.1,30,15,0.6492050737020528,0.06403966849447752
7,0.12005965697240865,0.3794679641723633,640.311390882358,0.6807031682214086,-0.045615935911300115,2,15,0.1,40,5,0.6749334366223677,0.03787351111197061
5,0.16927665920954513,0.4365486204624176,829.7388547936698,0.6319183002564797,-0.1262682001129099,2,15,0.1,40,10,0.6876731807858661,0.13757316121805893
5,0.18642803877703207,0.46096548438072205,834.1478526994997,0.5802245164950106,0.1303785864868142,2,15,0.1,40,15,0.6866311962939486,0.11195100895356773
6,0.1558538404175988,0.3667829632759094,683.423146395635,0.7233703775066033,-0.07327563249404534,2,15,0.1,50,5,0.6666036070056702,0.011489949524648867
5,0.16927665920954513,0.4365486204624176,829.7388547936698,0.6319183002564797,-0.1262682001129099,2,15,0.1,50,10,0.6876731807858661,0.13757316121805893
5,0.18642803877703207,0.46096548438072205,834.1478526994997,0.5802245164950106,0.1303785864868142,2,15,0.1,50,15,0.6866311962939486,0.11195100895356773
32,0.19835943325876212,0.515817403793335,3496.228965022236,0.635730622424112,0.26590326764256605,2,20,0.0,15,5,0.7878647805913715,0.1285577329724814
12,0.09992542878448919,0.4106840491294861,420.8220833251782,0.4927201295653474,-0.1322672435833192,2,20,0.0,15,10,0.7237071870665941,0.052221219151812534
10,0.07829977628635347,0.37725260853767395,237.91284527708166,0.45690239033886987,-0.024554608648216503,2,20,0.0,15,15,0.7068892429224531,0.5026855929948405
13,0.041014168530947054,0.36649176478385925,348.48649879389296,0.5800688077780817,-0.17414159467944887,2,20,0.0,20,5,0.727518164037684,0.08984343856541989
11,0.0947054436987323,0.4144088327884674,471.5700381364056,0.5000155517265763,-0.13083989594688744,2,20,0.0,20,10,0.7309066956222909,0.05037155981318254
8,0.07084265473527218,0.40207916498184204,312.1687666788289,0.479053453458959,-0.0031999691855119153,2,20,0.0,20,15,0.7202759549945776,0.5434367985866795
11,0.035794183445190156,0.33125314116477966,414.82521347004723,0.6753762870335555,-0.19385396143450634,2,20,0.0,25,5,0.7304322374881647,0.08966571692176639
11,0.0947054436987323,0.4144088327884674,471.5700381364056,0.5000155517265763,-0.13083989594688744,2,20,0.0,25,10,0.7309066956222909,0.05037155981318254
7,0.08575689783743475,0.40595489740371704,346.68151042698247,0.48415336747551196,-0.010885151350841775,2,20,0.0,25,15,0.6598343163020254,0.53278552312643
7,0.0447427293064877,0.31195685267448425,596.4254183448604,0.571399884859337,-0.22968351683767346,2,20,0.0,30,5,0.6830132509437123,0.0842301458789637
7,0.09395973154362416,0.3518824875354767,675.1148424658068,0.54471187960224,-0.19702724056461943,2,20,0.0,30,10,0.6821059379138149,0.0055621785110197865
5,0.06935123042505593,0.3749086856842041,533.2754928147154,0.5401378177320744,-0.0428325728688172,2,20,0.0,30,15,0.6787584830065854,0.5024085210513215
6,0.0447427293064877,0.3085688352584839,708.1831031664532,0.6013906793544486,-0.23941795595439153,2,20,0.0,40,5,0.6936808168134716,0.07469844443187716
6,0.09097688292319164,0.34801119565963745,807.7226550164006,0.576581992675534,-0.204931705604714,2,20,0.0,40,10,0.6956808799736282,0.0050609956274363785
