player_id,name,debut,last,span,n_valid,n_gaps,career_games,career_mp,mean_per,peak_per,sd_per,min_mp_valid,pos_mode,all_star_n,all_nba_n,mvp_top5_n,mean_bpm,mean_ws,sum_ws,sum_vorp,mean_usg,mean_ts,debut_age
fryech01,Channing Frye,2006,2019,14,13,1,890,19772,13.023076923076925,18.1,2.602115661756749,341.0,C,0,0,0,-0.7999999999999999,2.992307692307693,38.900000000000006,8.100000000000001,18.069230769230767,0.5457692307692308,22.0
fulleto02,Todd Fuller,1997,2000,4,4,0,225,2500,10.225000000000001,11.8,1.0207227831296806,399.0,C,0,0,0,-5.6000000000000005,0.55,2.2,-2.1,18.549999999999997,0.47575,22.0
fundela01,Lawrence Funderburke,1998,2003,6,6,0,318,4726,15.733333333333334,18.5,2.3221158933658375,229.0,PF,0,0,0,-0.9333333333333332,2.15,12.9,1.7,18.783333333333335,0.5298333333333334,27.0
gadzuda01,Dan Gadzuric,2003,2011,9,9,0,527,7793,13.18888888888889,18.1,3.0834484462996388,314.0,C,0,0,0,-3.322222222222222,1.7666666666666666,15.9,-0.6999999999999998,16.322222222222223,0.4896666666666667,24.0
gaineco01,Corey Gaines,1989,1995,7,3,4,80,1002,10.499999999999998,15.2,3.41272129929572,226.0,SG,0,0,0,-2.9,0.19999999999999998,0.6,-0.2,12.833333333333334,0.49133333333333334,23.0
gainesu01,Sundiata Gaines,2010,2012,3,3,0,113,1311,14.533333333333333,17.3,2.471616654922217,217.0,PG,0,0,0,-0.49999999999999994,0.4666666666666666,1.4,0.6,22.400000000000002,0.48066666666666674,23.0
galemi01,Mike Gale,1980,1982,3,3,0,219,4379,12.633333333333333,13.7,1.2364824660660936,1112.0,PG,0,0,0,0.6,2.3333333333333335,7.0,2.9000000000000004,13.566666666666668,0.528,29.0
gallida01,Danilo Gallinari,2009,2024,16,14,2,777,22410,16.328571428571433,21.0,2.251167497553395,412.0,SF,0,0,0,1.3571428571428574,4.65,65.10000000000001,21.0,20.46428571428571,0.5904999999999999,20.0
gamblke01,Kevin Gamble,1989,1997,9,9,0,649,14508,13.822222222222223,16.3,2.506780927261884,375.0,SF,0,0,0,0.0222222222222222,3.711111111111111,33.4,8.200000000000001,18.1,0.5482222222222222,23.0
garcifr01,Francisco García,2006,2015,10,10,0,549,11853,11.169999999999998,15.1,3.0505901068481815,200.0,SF,0,0,0,-0.49000000000000005,1.83,18.3,5.6000000000000005,16.349999999999998,0.5161999999999999,24.0
